Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Pacitan,80.9,85.1,6,1.61,0.01,40
Ponorogo,80.5,84.3,22,2.51,0.01,12
Trenggalek,64.9,79.7,1,1,0.06,18
Tulungagung,83.3,87.5,74,2.66,0.01,20
Blitar,92,81.8,49,0.94,,20
Kediri,77.9,88.6,31,1.51,0.01,20
Malang,86.2,84.2,45,1.74,0.04,38
Lumajang,106.6,86.2,33,10.77,0.02,22
Jember,94.5,89.9,105,6.01,0.01,23
Banyuwangi,78.2,87.5,47,2.95,0.01,20
Bondowoso,92.6,87.5,21,5.98,,29
Situbondo,95.8,92.7,50,11.12,0.01,56
Probolinggo,91.5,91.2,31,10.1,0.01,62
Pasuruan,90.8,87.1,74,7.65,0.01,15
Sidoarjo,99,88.9,273,1.78,,5
Mojokerto,97.7,90.6,9,0.26,,20
Jombang,88.7,89.5,54,5.24,0.01,2
Nganjuk,98.2,92.1,50,2.64,,20
Madiun,80.1,88,14,1.89,0.03,23
Magetan,85.9,92.4,14,1.57,,21
Ngawi,94.2,87.6,19,0.95,,48
Bojonegoro,99.9,93.9,21,1.83,,18
Tuban,86.9,89.9,36,9.78,,17
Lamongan,103.2,93.1,23,8.87,0.01,16
Gresik,95.7,89.8,23,5.6,,13
Bangkalan,80.9,93.1,8,18.6,,7
Sampang,87.4,88.1,14,22.34,,29
Pamekasan,80.1,85.9,,16.55,,42
Sumenep,104.9,87.9,12,22.18,,28
Kota Kediri,153.6,83.3,11,,0.03,29
Kota Blitar,70.4,77.4,66,0.69,0.09,23
Kota Malang,93.9,77,41,1.36,0.03,52
Kota Probolinggo,87.4,71.9,7,4.52,0.02,95
Kota Pasuruan,72,91.2,7,4.89,,32
Kota Mojokerto,78.1,95.7,29,3.79,,8
Kota Madiun,84.8,95.3,47,6.17,0.76,80
Kota Surabaya,88.8,90.1,148,3.18,0.03,7
Kota Batu,88.9,83.2,1,0.94,0.02,61
Jawa Timur,91.2,88.5,1516,5.82,0.02,23