Kota/Kabupaten,Penduduk
Kota Provinsi Jawa Timur,2893698
Kabupaten Malang yang memiliki julukan Kota Pendidikan,2703175
Kabupaten Jember,2584771
Kota Udang dan Bandeng menempati urutan keempat,2114588
Kabupaten Banyuwangi menempati urutan kelima,1744814
Kabupaten Kediri menempati urutan keenam dengan jumlah,1667450
Kabupaten Pasuruan dengan total,1626029
Kota Soto menempati urutan kedelapan dengan jumlah penduduk sebanyak,1386941
Kota Santri Jombang berada di posisi kesembilan,1345886
Kabupaten Gresik dengan jumlah penduduk sebanyak,1344648
Kota Ledre dengan jumlah penduduk sebanyak,1322474
Kota Proklamator menempati urutan ke,1249497
Kota Wali dan Kota Tuak dengan jumlah penduduk sebanyak,1215795
Kabupaten Probolinggo,1163859
Kota Onde,1141516
Kota Pisang dengan penduduk sebanyak,1147261
Kota Angin dengan penduduk sebanyak,1124247
Kabupaten Tulungagung yang terkenal sebagai daerah penghasil marmer terbesar di Indonesia atau biasa disebut Sweden van Java,1113973
Kabupaten Sumenep dengan jumlah penduduk sebanyak,1143295
Kabupaten Bangkalan di urutan ke,1101556
Kabupaten Sampang,992210
Kabupaten Ponorogo dengan julukan Kota Reog,972582
Kota Bambu yaitu Kabupaten Ngawi menyusul di urutan ke,881393
Kota Batik yaitu Kabupaten Pamekasan berada di urutan ke,862009
Kota Apel berada di urutan ke,847182
Kota Tape atau Kabupaten Bondowoso dengan jumlah penduduk sebanyak,784192
Kota Brem dan Kota Pecel yaitu Kabupaten Madiun berada di posisi ke,765135
Kabupaten Trenggalek atau dikenal Kota Gaplek di urutan ke,744358
Kabupaten Situbondo,694081
Kabupaten Magetan karena wisata alam terkenal Telaga Sarangan,682466
Kabupaten Pacitan terkenal wisata alamnya yang indah,596649
Kota Kediri menempati urutan ke,290836
Kota Probolinggo dengan julukan Kota Mangga dan Anggur,245174
Kota Batu menempati urutan ke,218802
Kota Pasuruan dengan total penduduk,213450
Kota Brem dan Kota Pecel yaitu Kabupaten Madiun berada di posisi,201460
Kota Blitar dengan jumlah penduduk sebanyak,153541
Kota Mojokerto,135414